work_order_no|notification_no|created_on|functional_location|train_number|car_position|sub_system|root_cause|remarks|date_closed|check_sub_system|check_root_cause
4000468245|11956356|1/6/2022|RSV022-CAR05-BOG-01|RSV022|ECA1|Bogie System (BOG)|BCU faulty|"Cause Items: Request to replace bogie 1 assembly due to load wheel worn. RS: Work done. SN out : KL224 SN in : KL227|| Activity Items: 021HS-Bogie assembly load tire worn"|1/6/2022|True|True
4000468465|11956402|1/6/2022|RSV023-CAR12-LVS|RSV023|ECA4|Low Voltage System (LVS)|UOF|"Cause Items: 1345Hrs.RSV23 C2309 TSA/Up, TO YI 6959 reported alarm smoke detected in ECA 4. Train normal after visual inspection by TO.|| Activity Items: NFF - No fault found. Train status normal. NFF."|2/6/2022|True|True
4000467985|11952610|1/6/2022|RSV027-CAR26-PPS-CC3|RSV027|ICA2|Primary Power System (PPS)|UOF|"Cause Items: Request to replace current collector shoe position CC due to worn out. Work completed.|| Activity Items: 071AS-Replaced worn Collector Shoe"|1/6/2022|True|True
4000468466|11956574|1/6/2022|RSV027-CAR28-PRS-TR6|RSV027|ECA4|Propulsion System (PRS)|UOF|"Cause Items: 1951hrs, RSV 27 Car 2728 RAN/Dn, TO ZN 7213 reported traction 6 torque deviate with red indication. Reset failure remain, traction 6 bypassed.|| Activity Items: NFF - No fault found. Train status normal at depot. Checked bogie compartment and traction, all ok. NFF, keep monitor."|2/6/2022|True|True
4000469005|11957292|2/6/2022|RSV022-CAR06-BOG-03|RSV022|ICA2|Vehicle Management System (VMS)|TPMS Sensor Faulty|"Cause Items: 2321hrs, RSV 22 Car 2208 BAS/Dn, TO AK12841 reported GW tyre pressure low. GW 35 with reading 6.6 bar. Train speed normal.|| Activity Items: REPLC - Replaced TPMS sensor Checked and found, TPMS sensor leaking. Replaced new sensor, setting and tested ok."|3/6/2022|True|True
4000469006|11956599|2/6/2022|RSV023-CAR09|RSV023|ECA1|Passenger Door System (DRS)|Encoder faulty|"Cause Items: 0505hrs, RSV 23 car 2309 at T45, TO AH6309 reported traction 3 bypassed & ECA 4 door 4 isolated from depot.|| Activity Items: NFA - Need Further Action Waiting part."|3/6/2022|True|True
4000469008|11957189|2/6/2022|RSV023-CAR12|RSV023|ECA4|Vehicle Management System (VMS)|UOF|"Cause Items: 1445hrs, RSV 23 car 2312 MAH/Dn TO HR16957 reported alarm VMS I/O module fault detected & Dnet 4 ECA 4 HMI nod fault. Train status normal.|| Activity Items: RESET - Reset back to normal. TO performed train total shutdown at mainline. Train status normal at depot."|3/6/2022|True|True
4000469007|11957171|2/6/2022|RSV023-CAR12-HVA|RSV023|ECA4|Heating, Ventilation and Air Conditioning (HVAC)|Encoder faulty|"Cause Items: 1305hrs, RSV 23 C2312 at TUN/Dn, TO AA10770 reported ECA 4 low pressure fault & aircond red indication.|| Activity Items: NFA - Need Further Action Waiting part"|3/6/2022|True|True
4000468931|11956600|2/6/2022|RSV025-CAR17-RSC|RSV025|ECA1|Car Body (BOD)|UOF|"Cause Items: 0533hrs, DCC tag monitor triggered only 01 unit tag reader of RSV 25 is serviceable. RSV 25 will be back to depot. Request by RSD Safuan.|| Activity Items: tag reader Train back to cepot and replaced TAG part from RSV11,tested ok."|2/6/2022|True|True
4000469012|11957293|2/6/2022|RSV026-CAR22-BRS|RSV026|ICA2|Pneumatic and Brake System (BRS)|Pressure Switch fail|"Cause Items: 2326hrs, RSV 26 Car 2524 MAH/Dn, TO FA14149 reported Park brake ICA2 red indication. Train not ready and cant proceed. RSV 26 proceed wrong direction movement to KLS after using EMBR.|| Activity Items: RESET - Reset back to normal. Advised to perform train total shutdown at KLS. After startup, train back to normal. Suspected Park brake signal hang. Keep monitor."|3/6/2022|True|True
4000469009|11957240|2/6/2022|RSV026-CAR23-DRS-4|RSV026|ICA3|Passenger Door System (DRS)|UOF|"Cause Items: 1720hrs, RSV 26 car 2621 at T45 TO FA4149 reported ICA 3 door 4 isolated from Depot.|| Activity Items: REPAR - Applied grease Checked DCU shown error code 17. Cycle door, found door movement not smooth during opening and closing. Applied grease at spindle shaft, tested ok."|3/6/2022|True|True
